file,mean_reward,std_reward,rewards
dqn_double_lr05_SpaceInvaders-v0_weights_1000000.h5f,20.9,5.57584074378026,"[33.0, 19.0, 25.0, 20.0, 12.0, 21.0, 17.0, 24.0, 15.0, 23.0]"
dqn_double_lr05_SpaceInvaders-v0_weights_50000.h5f,20.7,9.685556256612212,"[11.0, 22.0, 31.0, 18.0, 16.0, 23.0, 39.0, 27.0, 17.0, 3.0]"
dqn_double_lr05_SpaceInvaders-v0_weights_925000.h5f,19.6,5.0039984012787215,"[15.0, 14.0, 19.0, 25.0, 15.0, 21.0, 21.0, 13.0, 25.0, 28.0]"
dqn_double_lr05_SpaceInvaders-v0_weights_725000.h5f,18.7,3.0675723300355937,"[19.0, 23.0, 18.0, 23.0, 20.0, 19.0, 19.0, 13.0, 19.0, 14.0]"
dqn_double_lr05_SpaceInvaders-v0_weights_775000.h5f (1),18.5,3.774917217635375,"[21.0, 8.0, 21.0, 19.0, 18.0, 18.0, 22.0, 18.0, 21.0, 19.0]"
dqn_double_lr05_SpaceInvaders-v0_weights_25000.h5f (1),18.2,6.63023378170031,"[24.0, 6.0, 23.0, 11.0, 28.0, 17.0, 17.0, 26.0, 14.0, 16.0]"
dqn_double_lr05_SpaceInvaders-v0_weights_650000.h5f,18.1,7.020683727387241,"[22.0, 19.0, 11.0, 23.0, 12.0, 30.0, 21.0, 25.0, 8.0, 10.0]"
dqn_double_lr05_SpaceInvaders-v0_weights.h5f (2),18.0,6.131883886702357,"[18.0, 10.0, 18.0, 14.0, 26.0, 17.0, 24.0, 29.0, 11.0, 13.0]"
dqn_double_lr05_SpaceInvaders-v0_weights.h5f,18.0,2.6076809620810595,"[19.0, 21.0, 19.0, 17.0, 14.0, 14.0, 16.0, 18.0, 20.0, 22.0]"
dqn_double_lr05_SpaceInvaders-v0_weights_675000.h5f,17.4,5.023942674832188,"[30.0, 13.0, 12.0, 18.0, 17.0, 17.0, 21.0, 16.0, 18.0, 12.0]"
dqn_double_lr05_SpaceInvaders-v0_weights_850000.h5f (1),17.4,6.7111846942250075,"[11.0, 12.0, 32.0, 25.0, 19.0, 13.0, 21.0, 13.0, 18.0, 10.0]"
dqn_double_lr05_SpaceInvaders-v0_weights_925000.h5f (1),17.4,4.127953488110059,"[18.0, 21.0, 18.0, 21.0, 24.0, 13.0, 9.0, 16.0, 19.0, 15.0]"
dqn_double_lr05_SpaceInvaders-v0_weights_850000.h5f,17.1,5.243090691567332,"[12.0, 22.0, 8.0, 15.0, 19.0, 22.0, 26.0, 19.0, 16.0, 12.0]"
dqn_double_lr05_SpaceInvaders-v0_weights_975000.h5f (1),17.1,4.825971404805461,"[14.0, 22.0, 7.0, 21.0, 11.0, 21.0, 18.0, 16.0, 22.0, 19.0]"
dqn_double_lr05_SpaceInvaders-v0_weights_450000.h5f,17.0,4.171330722922842,"[20.0, 13.0, 18.0, 9.0, 19.0, 12.0, 16.0, 22.0, 22.0, 19.0]"
dqn_double_lr05_SpaceInvaders-v0_weights_700000.h5f (1),16.9,4.22965719651132,"[17.0, 14.0, 10.0, 14.0, 12.0, 22.0, 20.0, 17.0, 24.0, 19.0]"
dqn_double_lr05_SpaceInvaders-v0_weights_875000.h5f,16.9,4.1340053217188775,"[18.0, 8.0, 18.0, 22.0, 19.0, 18.0, 19.0, 18.0, 10.0, 19.0]"
dqn_double_lr05_SpaceInvaders-v0_weights_675000.h5f (1),16.8,2.993325909419153,"[21.0, 19.0, 14.0, 16.0, 18.0, 13.0, 22.0, 16.0, 16.0, 13.0]"
dqn_double_lr05_SpaceInvaders-v0_weights_975000.h5f,16.8,3.280243893371345,"[16.0, 16.0, 19.0, 16.0, 21.0, 21.0, 13.0, 17.0, 10.0, 19.0]"
dqn_double_lr05_SpaceInvaders-v0_weights.h5f (1),16.7,7.128113354878694,"[29.0, 10.0, 25.0, 24.0, 9.0, 19.0, 8.0, 18.0, 10.0, 15.0]"
dqn_double_lr05_SpaceInvaders-v0_weights_75000.h5f (1),16.7,7.057619995437555,"[19.0, 10.0, 8.0, 27.0, 22.0, 8.0, 28.0, 19.0, 14.0, 12.0]"
dqn_double_lr05_SpaceInvaders-v0_weights_825000.h5f,16.6,5.141984052872977,"[30.0, 12.0, 16.0, 20.0, 12.0, 13.0, 15.0, 17.0, 13.0, 18.0]"
dqn_double_lr05_SpaceInvaders-v0_weights_700000.h5f,16.5,6.15223536610881,"[7.0, 23.0, 18.0, 29.0, 14.0, 13.0, 16.0, 21.0, 14.0, 10.0]"
dqn_double_lr05_SpaceInvaders-v0_weights_800000.h5f,16.5,6.08687111741328,"[22.0, 5.0, 24.0, 17.0, 19.0, 21.0, 16.0, 15.0, 20.0, 6.0]"
dqn_double_lr05_SpaceInvaders-v0_weights_600000.h5f,16.4,4.454211490264018,"[18.0, 9.0, 17.0, 13.0, 15.0, 25.0, 17.0, 21.0, 18.0, 11.0]"
dqn_double_lr05_SpaceInvaders-v0_weights_175000.h5f,16.3,5.866003750424986,"[15.0, 3.0, 20.0, 8.0, 17.0, 19.0, 18.0, 22.0, 19.0, 22.0]"
dqn_double_lr05_SpaceInvaders-v0_weights_200000.h5f,16.1,6.549045732013176,"[17.0, 20.0, 15.0, 4.0, 9.0, 25.0, 22.0, 10.0, 24.0, 15.0]"
dqn_double_lr05_SpaceInvaders-v0_weights_725000.h5f (1),16.0,5.196152422706632,"[19.0, 17.0, 12.0, 15.0, 21.0, 27.0, 12.0, 8.0, 17.0, 12.0]"
dqn_double_lr05_SpaceInvaders-v0_weights_800000.h5f (1),16.0,4.795831523312719,"[21.0, 10.0, 7.0, 18.0, 11.0, 19.0, 15.0, 19.0, 18.0, 22.0]"
dqn_double_lr05_SpaceInvaders-v0_weights_875000.h5f (1),16.0,4.959838707054898,"[17.0, 16.0, 7.0, 20.0, 21.0, 16.0, 13.0, 9.0, 24.0, 17.0]"
dqn_double_lr05_SpaceInvaders-v0_weights_900000.h5f,16.0,5.656854249492381,"[22.0, 7.0, 26.0, 20.0, 14.0, 18.0, 13.0, 11.0, 19.0, 10.0]"
dqn_double_lr05_SpaceInvaders-v0_weights_0.h5f (2),15.8,9.303762679690406,"[3.0, 24.0, 15.0, 17.0, 5.0, 22.0, 3.0, 33.0, 16.0, 20.0]"
dqn_double_lr05_SpaceInvaders-v0_weights_900000.h5f (1),15.8,5.192301994298868,"[6.0, 22.0, 9.0, 18.0, 16.0, 20.0, 22.0, 14.0, 19.0, 12.0]"
dqn_double_lr05_SpaceInvaders-v0_weights_175000.h5f (1),15.7,5.197114584074513,"[12.0, 19.0, 20.0, 19.0, 12.0, 20.0, 10.0, 5.0, 20.0, 20.0]"
dqn_double_lr05_SpaceInvaders-v0_weights_550000.h5f,15.6,6.681317235396026,"[10.0, 18.0, 17.0, 18.0, 28.0, 9.0, 7.0, 24.0, 8.0, 17.0]"
dqn_double_lr05_SpaceInvaders-v0_weights_500000.h5f (1),15.4,6.2,"[13.0, 13.0, 14.0, 12.0, 10.0, 28.0, 12.0, 19.0, 25.0, 8.0]"
dqn_double_lr05_SpaceInvaders-v0_weights_500000.h5f,15.4,4.737087712930805,"[13.0, 11.0, 14.0, 14.0, 15.0, 12.0, 16.0, 12.0, 28.0, 19.0]"
dqn_double_lr05_SpaceInvaders-v0_weights_400000.h5f (1),15.1,3.961060464067672,"[14.0, 22.0, 14.0, 22.0, 18.0, 12.0, 12.0, 10.0, 13.0, 14.0]"
dqn_double_lr05_SpaceInvaders-v0_weights_775000.h5f,15.1,3.5902646142032486,"[13.0, 16.0, 10.0, 13.0, 19.0, 13.0, 16.0, 22.0, 11.0, 18.0]"
dqn_double_lr05_SpaceInvaders-v0_weights_475000.h5f,14.7,5.883026432033091,"[21.0, 9.0, 21.0, 12.0, 6.0, 20.0, 10.0, 12.0, 24.0, 12.0]"
dqn_double_lr05_SpaceInvaders-v0_weights_0.h5f (1),14.6,6.945502141674135,"[3.0, 15.0, 16.0, 22.0, 19.0, 22.0, 17.0, 4.0, 7.0, 21.0]"
dqn_double_lr05_SpaceInvaders-v0_weights_150000.h5f,14.6,6.086049621881176,"[17.0, 13.0, 17.0, 6.0, 25.0, 4.0, 12.0, 21.0, 18.0, 13.0]"
dqn_double_lr05_SpaceInvaders-v0_weights_950000.h5f (1),14.3,5.4230987451825,"[16.0, 20.0, 5.0, 16.0, 19.0, 10.0, 20.0, 12.0, 19.0, 6.0]"
dqn_double_lr05_SpaceInvaders-v0_weights_150000.h5f (1),14.2,5.99666574022598,"[8.0, 15.0, 16.0, 14.0, 21.0, 9.0, 8.0, 12.0, 11.0, 28.0]"
dqn_double_lr05_SpaceInvaders-v0_weights_275000.h5f (1),14.2,4.237924020083418,"[17.0, 12.0, 18.0, 13.0, 8.0, 9.0, 16.0, 14.0, 12.0, 23.0]"
dqn_double_lr05_SpaceInvaders-v0_weights_75000.h5f,14.2,3.5721142198983507,"[15.0, 20.0, 15.0, 7.0, 10.0, 15.0, 12.0, 18.0, 14.0, 16.0]"
dqn_double_lr05_SpaceInvaders-v0_weights_50000.h5f (1),14.0,5.639148871948674,"[24.0, 1.0, 19.0, 15.0, 12.0, 15.0, 16.0, 15.0, 12.0, 11.0]"
dqn_double_lr05_SpaceInvaders-v0_weights_825000.h5f (1),14.0,4.358898943540674,"[13.0, 19.0, 9.0, 13.0, 12.0, 16.0, 13.0, 12.0, 24.0, 9.0]"
dqn_double_lr05_SpaceInvaders-v0_weights_25000.h5f,13.9,7.3,"[21.0, 21.0, 15.0, 6.0, 8.0, 25.0, 8.0, 6.0, 22.0, 7.0]"
dqn_double_lr05_SpaceInvaders-v0_weights_450000.h5f (1),13.9,3.806573262134856,"[11.0, 13.0, 11.0, 14.0, 19.0, 20.0, 10.0, 17.0, 16.0, 8.0]"
dqn_double_lr05_SpaceInvaders-v0_weights_600000.h5f (1),13.8,3.4,"[18.0, 16.0, 17.0, 9.0, 15.0, 8.0, 10.0, 16.0, 13.0, 16.0]"
dqn_double_lr05_SpaceInvaders-v0_weights_475000.h5f (1),13.6,4.127953488110059,"[14.0, 11.0, 15.0, 17.0, 20.0, 12.0, 17.0, 4.0, 12.0, 14.0]"
dqn_double_lr05_SpaceInvaders-v0_weights_200000.h5f (1),13.0,4.795831523312719,"[11.0, 18.0, 8.0, 14.0, 10.0, 19.0, 22.0, 11.0, 7.0, 10.0]"
dqn_double_lr05_SpaceInvaders-v0_weights_625000.h5f,12.6,3.2619012860600183,"[15.0, 16.0, 10.0, 6.0, 15.0, 17.0, 13.0, 13.0, 12.0, 9.0]"
dqn_double_lr05_SpaceInvaders-v0_weights_650000.h5f (1),12.6,4.223742416388575,"[7.0, 15.0, 18.0, 13.0, 15.0, 13.0, 12.0, 6.0, 8.0, 19.0]"
dqn_double_lr05_SpaceInvaders-v0_weights_125000.h5f (1),12.4,7.2,"[5.0, 10.0, 20.0, 15.0, 19.0, 6.0, 27.0, 4.0, 8.0, 10.0]"
dqn_double_lr05_SpaceInvaders-v0_weights_950000.h5f,12.4,4.94368283772331,"[18.0, 11.0, 12.0, 18.0, 6.0, 16.0, 16.0, 7.0, 16.0, 4.0]"
dqn_double_lr05_SpaceInvaders-v0_weights_0.h5f,12.2,4.190465367951393,"[13.0, 10.0, 17.0, 19.0, 14.0, 3.0, 9.0, 13.0, 11.0, 13.0]"
dqn_double_lr05_SpaceInvaders-v0_weights_300000.h5f,11.8,3.627671429443411,"[12.0, 15.0, 12.0, 13.0, 16.0, 12.0, 5.0, 8.0, 8.0, 17.0]"
dqn_double_lr05_SpaceInvaders-v0_weights_250000.h5f,11.7,6.512296062065975,"[23.0, 2.0, 10.0, 15.0, 5.0, 22.0, 10.0, 14.0, 9.0, 7.0]"
dqn_double_lr05_SpaceInvaders-v0_weights_550000.h5f (1),11.7,4.754997371187496,"[7.0, 19.0, 7.0, 5.0, 12.0, 10.0, 16.0, 13.0, 9.0, 19.0]"
dqn_double_lr05_SpaceInvaders-v0_weights_225000.h5f,11.6,4.317406628984581,"[16.0, 8.0, 16.0, 13.0, 11.0, 13.0, 6.0, 6.0, 19.0, 8.0]"
dqn_double_lr05_SpaceInvaders-v0_weights_300000.h5f (1),11.6,2.6153393661244038,"[10.0, 9.0, 17.0, 10.0, 12.0, 9.0, 13.0, 9.0, 15.0, 12.0]"
dqn_double_lr05_SpaceInvaders-v0_weights_525000.h5f (1),11.3,6.9144775652250114,"[6.0, 12.0, 6.0, 19.0, 8.0, 6.0, 14.0, 12.0, 3.0, 27.0]"
dqn_double_lr05_SpaceInvaders-v0_weights_625000.h5f (1),11.2,4.422668877499197,"[5.0, 12.0, 13.0, 10.0, 11.0, 21.0, 15.0, 5.0, 10.0, 10.0]"
dqn_double_lr05_SpaceInvaders-v0_weights_350000.h5f (1),11.1,6.331666447310692,"[18.0, 7.0, 5.0, 10.0, 8.0, 5.0, 26.0, 8.0, 15.0, 9.0]"
dqn_double_lr05_SpaceInvaders-v0_weights_425000.h5f,11.1,4.205948168962618,"[11.0, 16.0, 5.0, 7.0, 7.0, 8.0, 14.0, 19.0, 12.0, 12.0]"
dqn_double_lr05_SpaceInvaders-v0_weights_100000.h5f,10.8,5.775811631277461,"[8.0, 8.0, 12.0, 4.0, 19.0, 6.0, 9.0, 6.0, 13.0, 23.0]"
dqn_double_lr05_SpaceInvaders-v0_weights_525000.h5f,10.8,4.354308211415448,"[11.0, 8.0, 11.0, 7.0, 10.0, 12.0, 18.0, 19.0, 6.0, 6.0]"
dqn_double_lr05_SpaceInvaders-v0_weights_400000.h5f,10.7,3.8223029707232787,"[9.0, 6.0, 11.0, 7.0, 8.0, 18.0, 10.0, 8.0, 16.0, 14.0]"
dqn_double_lr05_SpaceInvaders-v0_weights_575000.h5f (1),10.7,4.450842616853578,"[12.0, 9.0, 4.0, 16.0, 16.0, 13.0, 10.0, 2.0, 14.0, 11.0]"
dqn_double_lr05_SpaceInvaders-v0_weights_125000.h5f,10.6,5.851495535331118,"[3.0, 5.0, 5.0, 9.0, 13.0, 11.0, 13.0, 17.0, 7.0, 23.0]"
dqn_double_lr05_SpaceInvaders-v0_weights_575000.h5f,10.6,3.4698703145794947,"[12.0, 11.0, 10.0, 6.0, 12.0, 13.0, 10.0, 9.0, 18.0, 5.0]"
dqn_double_lr05_SpaceInvaders-v0_weights_325000.h5f,10.5,3.905124837953327,"[8.0, 18.0, 7.0, 12.0, 6.0, 12.0, 15.0, 10.0, 5.0, 12.0]"
dqn_double_lr05_SpaceInvaders-v0_weights_100000.h5f (1),10.4,4.363484845854286,"[18.0, 7.0, 13.0, 4.0, 17.0, 6.0, 10.0, 12.0, 8.0, 9.0]"
dqn_double_lr05_SpaceInvaders-v0_weights_350000.h5f,10.3,5.514526271584894,"[9.0, 8.0, 12.0, 4.0, 16.0, 23.0, 5.0, 5.0, 9.0, 12.0]"
dqn_double_lr05_SpaceInvaders-v0_weights_425000.h5f (1),10.3,5.020956084253277,"[16.0, 4.0, 11.0, 6.0, 21.0, 12.0, 9.0, 4.0, 9.0, 11.0]"
dqn_double_lr05_SpaceInvaders-v0_weights_750000.h5f (1),10.1,2.5865034312755126,"[5.0, 10.0, 9.0, 8.0, 11.0, 10.0, 11.0, 9.0, 13.0, 15.0]"
dqn_double_lr05_SpaceInvaders-v0_weights_275000.h5f,9.8,5.635601121442148,"[4.0, 22.0, 7.0, 14.0, 17.0, 7.0, 4.0, 7.0, 9.0, 7.0]"
dqn_double_lr05_SpaceInvaders-v0_weights_225000.h5f (1),9.7,4.775981574503821,"[6.0, 9.0, 6.0, 16.0, 7.0, 7.0, 11.0, 6.0, 21.0, 8.0]"
dqn_double_lr05_SpaceInvaders-v0_weights_325000.h5f (1),9.6,2.4576411454889016,"[14.0, 7.0, 11.0, 8.0, 13.0, 10.0, 7.0, 11.0, 7.0, 8.0]"
dqn_double_lr05_SpaceInvaders-v0_weights_375000.h5f,9.3,4.313930922024598,"[11.0, 19.0, 3.0, 9.0, 5.0, 11.0, 8.0, 10.0, 12.0, 5.0]"
dqn_double_lr05_SpaceInvaders-v0_weights_750000.h5f,9.2,3.280243893371345,"[10.0, 10.0, 7.0, 7.0, 15.0, 8.0, 6.0, 5.0, 9.0, 15.0]"
dqn_double_lr05_SpaceInvaders-v0_weights_250000.h5f (1),7.1,5.374941860150675,"[9.0, 18.0, 6.0, 4.0, 2.0, 3.0, 3.0, 7.0, 3.0, 16.0]"
dqn_double_lr05_SpaceInvaders-v0_weights_375000.h5f (1),7.1,2.3430749027719964,"[4.0, 6.0, 5.0, 6.0, 6.0, 12.0, 7.0, 6.0, 9.0, 10.0]"
